Date,BTC.Open,BTC.High,BTC.Low,BTC.Close,LTC.Open,LTC.High,LTC.Low,LTC.Close,XRP.Open,XRP.High,XRP.Low,XRP.Close,ETH.Open,ETH.High,ETH.Low,ETH.Close,SHClose,SPClose,NKClose,MXClose,USDJPYClose,USDRUBClose,USDCNYClose
12/1/16,742.01,754.75,741.88,753.25,3.91,3.92,3.89,3.91,0.006723,0.006737,0.006702,0.006702,8.6,8.65,8.36,8.45,3273.31,2191.08,18513.12,2121.87,114.09,63.9759,6.8865
12/2/16,753.25,778.14,753.15,771.41,3.92,3.96,3.92,3.95,0.006707,0.006906,0.006615,0.00666,8.46,8.46,7.42,7.76,3243.84,2191.95,18426.08,2128.99,113.58,63.882,6.8865
12/5/16,766.46,766.83,745.7,750.71,3.88,3.92,3.33,3.53,0.006525,0.006761,0.006419,0.006434,7.41,7.64,6.66,6.82,3204.71,2204.71,18274.99,2158.33,113.84,63.8175,6.881
12/6/16,750.71,759.89,750.54,758.81,3.49,3.56,3.49,3.54,0.006435,0.006655,0.006417,0.006655,6.8,7.92,5.98,7.87,3199.65,2212.23,18360.54,2152.35,114.02,63.8785,6.882
12/7/16,758.81,768.32,752.16,763.9,3.54,3.63,3.51,3.62,0.006653,0.006851,0.006565,0.006851,7.89,8.54,7.33,8.38,3222.24,2241.35,18496.69,2160.51,113.77,63.2054,6.8805
12/8/16,763.9,771.42,761.46,766.75,3.6,3.73,3.6,3.69,0.006849,0.007156,0.006829,0.007097,8.38,8.86,8.23,8.23,3215.37,2246.19,18765.47,2207.02,114.03,63.2743,6.8799
12/9/16,766.75,772.47,766.27,770.41,3.69,3.71,3.68,3.69,0.007091,0.007162,0.007007,0.007135,8.17,8.67,8.05,8.45,3232.88,2259.53,18996.37,2208.53,115.4,62.4933,6.9077
12/12/16,768.62,779.35,768.62,777.91,3.64,3.67,3.62,3.66,0.006744,0.006809,0.006743,0.006778,8.19,8.61,8.17,8.52,3152.97,2256.96,19155.03,2226.89,115.03,61.0442,6.9069
12/13/16,777.91,788.49,766.9,775.25,3.67,3.7,3.65,3.65,0.00678,0.006781,0.006678,0.006708,8.52,8.53,8.35,8.42,3155.04,2271.72,19250.52,2247.02,115.19,60.6029,6.9017
12/14/16,775.25,779.6,771.39,776.64,3.66,3.66,3.59,3.62,0.006704,0.006753,0.00669,0.006705,8.45,8.52,8.25,8.27,3140.53,2253.28,19253.61,2229.05,117.05,62.0812,6.9051
12/15/16,776.64,778.22,774.94,775.48,3.61,3.65,3.6,3.62,0.006699,0.006699,0.006606,0.006662,8.24,8.24,7.72,7.83,3117.68,2262.03,19273.79,2237.23,118.17,61.731,6.9443
12/16/16,775.48,781.54,772.77,780.85,3.63,3.65,3.61,3.63,0.006662,0.006791,0.006661,0.00671,7.86,7.93,7.8,7.86,3122.98,2258.07,19401.15,2231.41,117.99,62.0946,6.9603
12/19/16,788.59,792.28,788.57,790.16,3.68,3.68,3.65,3.66,0.006582,0.006582,0.006534,0.006545,7.87,7.87,7.63,7.64,3118.08,2262.53,19391.6,2215.69,117.08,61.9306,6.9539
12/20/16,790.16,800.46,788.45,798.78,3.66,3.66,3.64,3.66,0.00654,0.006543,0.006481,0.0065,7.63,7.75,7.57,7.66,3102.88,2270.76,19494.53,2226.36,117.88,61.4518,6.9505
12/21/16,798.78,833.3,797.46,833.1,3.66,3.69,3.65,3.65,0.006498,0.006498,0.006417,0.006445,7.66,7.94,7.66,7.91,3137.43,2265.18,19444.49,2212.33,117.55,61.15,6.9421
12/22/16,833.1,874.1,829.84,858.74,3.67,3.75,3.66,3.71,0.006452,0.006466,0.006324,0.006363,7.9,7.91,7.5,7.58,3139.56,2260.96,19427.67,2174.64,117.54,60.9426,6.9504
12/27/16,902.55,938.13,900.03,931.11,4.37,4.58,4.33,4.47,0.006326,0.006326,0.006188,0.006199,7.28,7.32,7.09,7.17,3114.66,2268.88,19403.06,2189.43,117.42,60.6708,6.9525
12/28/16,931.11,978.01,931.11,978.01,4.49,4.67,4.49,4.57,0.006193,0.006336,0.006126,0.006173,7.15,7.62,7.08,7.52,3102.24,2249.92,19401.72,2182.98,117.25,60.3297,6.9593
12/29/16,978.01,982.87,949.62,969.62,4.58,4.63,4.51,4.56,0.00618,0.006354,0.006167,0.006341,7.54,8.53,7.54,8.28,3096.1,2249.26,19145.14,2206.33,116.55,60.4138,6.9552
12/30/16,969.62,969.62,928.99,960.47,4.56,4.56,4.29,4.39,0.006352,0.006455,0.006338,0.006426,8.29,8.47,8.05,8.16,3103.64,2238.83,19114.37,2232.72,116.89,61.273,6.945
1/4/17,1030.82,1141.16,1030.82,1129.87,4.63,4.84,4.63,4.84,0.006385,0.006656,0.006385,0.00657,9.71,11.28,9.56,11.25,3158.79,2270.75,19594.16,2263.9,117.27,60.4653,6.9351
